2026-09-25 16:28:29,433 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-09-25 16:28:29,466 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-09-25 16:28:29,466 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-09-25 16:28:29,466 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-09-25 16:28:29,478 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 201 - Setting up command manager
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 204 - Adding command manager
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-09-25 16:28:29,481 INFO  SwAddin.cs: 210 - Adding event handlers
2026-09-25 16:28:29,530 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-09-25 16:56:55,501 INFO  SwAddin.cs: 294 - Assembly export called for file 5-DOF_Arm_ASY
2026-09-25 16:56:58,385 INFO  SwAddin.cs: 313 - Saving assembly
2026-09-25 16:57:02,373 INFO  SwAddin.cs: 316 - Opening property manager
2026-09-25 16:57:02,441 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 5-DOF_Arm_ASY
2026-09-25 16:57:02,457 INFO  ExportHelperExtension.cs: 1136 - Found 199 in 5-DOF_Arm_ASY
2026-09-25 16:57:02,457 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 5-DOF_Arm_ASY
2026-09-25 16:57:02,457 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-09-25 16:57:02,461 INFO  ExportHelperExtension.cs: 1160 - 53 components to check
2026-09-25 16:57:02,461 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 5-DOF_Arm_ASY
2026-09-25 16:57:02,465 INFO  ExportHelperExtension.cs: 1136 - Found 199 in 5-DOF_Arm_ASY
2026-09-25 16:57:02,465 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [RefAxis] in 5-DOF_Arm_ASY
2026-09-25 16:57:02,467 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-09-25 16:57:02,468 INFO  ExportHelperExtension.cs: 1160 - 53 components to check
2026-09-25 16:57:04,333 INFO  SwAddin.cs: 339 - Loading config tree
2026-09-25 16:57:04,339 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-09-25 16:57:04,352 INFO  SwAddin.cs: 344 - Showing property manager
2026-09-25 17:01:22,747 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:14:14,099 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:14:23,515 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:14:33,648 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:16:44,496 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:16:46,675 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:16:55,619 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:19:40,355 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-09-25 17:19:59,576 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
